  30: This is info message
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'sect1', 3, 53)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'title', 4, 8)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'title', 4, 30)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'indexterm', 6, 33)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'primary', 7, 11)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'primary', 7, 35)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'indexterm', 8, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 10, 7)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'filename', 11, 16)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'filename', 11, 41)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 13, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'indexterm', 15, 12)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'primary', 16, 11)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'primary', 16, 41)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'indexterm', 17, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 19, 7)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'function', 20, 45)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'function', 20, 76)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 22, 14)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structname', 22, 41)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 24, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 26, 7)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'literal', 28, 11)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'literal', 28, 31)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'command', 29, 17)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'command', 29, 32)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 30, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'sect2', 32, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'title', 33, 9)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 33, 25)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structname', 33, 52)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'title', 33, 65)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 35, 8)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 37, 9)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'table', 39, 36)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'title', 40, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 40, 22)
